,0,1
5177,enološki,vinarski
5178,enomolekularen,monomolekularen
5179,enomolekulski,monomolekularen
5180,enonaroden,enonarodnosten
5181,enonarodnosten,enonaroden
5182,enoočnik,monokel
5183,enopolen,monopolen
5184,enopomenski,monosemičen
5185,enorazsežen,enodimenzionalen
5186,enormen,velikanski
5187,enoroden,uniparen
5188,enoročno,z eno roko
5189,enorožec,samorog
5190,enosed,enosedežno letalo
5191,enosmeren,nepovraten
5192,enost,duhovna povezanost
5193,enostaven,preprost
5194,enostavno,preprosto
5195,enostavnost,preprostost
5196,enostranost,enostranskost
5197,enostranski,pristranski
5198,enostranskost,enostranost
5199,enote,vojaki
5200,enoteren,enovit
5201,enoumen,jasen
5202,enovalenten,monovalenten
5203,enovit,homogen
5204,enovito,enotno
5205,enovitost,enotnost
5206,enovprežen,z enim konjem
5207,enovrstni,z gumbi v eni vrsti
5208,enoznačen,jasen
5209,enočlenik,monom
5210,enoženec,monogamist
5211,enoženstvo,monoginija
5212,entaza,nabreklina stebra
5213,enter,vnašalka
5214,enteritis,vnetje tankega črevesa
5215,enteritičen,črevesen
5216,enterokolitis,vnetje tankega in debelega črevesa
5217,entomolog,žužkoslovec
5218,entomologija,žužkoslovje
5219,entomologinja,insektologinja
5220,entropija,kaos
5221,entropijsko,z entropijo
5222,entuziast,navdušenec
5223,entuziastičen,navdušen
5224,entuziastično,navdušeno
5225,entuziastka,navdušenka
5226,entuziazem,navdušenje
5227,enumeracija,naštevanje
5228,enumerativen,naštevalen
5229,enureza,močenje postelje
5230,eolski,vetrn
5231,eon,vek
5232,ep,epos
5233,epicenter,središče
5234,epidemiolog,epidemiologinja
5235,epidemiologinja,epidemiolog
5236,epidermalen,povrhnjičen
5237,epidermis,povrhnjica
5238,epidermoiden,podoben pokožnici
5239,epifanija,razglašenje Gospodovo
5240,epifenomen,sopojav
5241,epifit,priraslika
5242,epifiza,češarika
5243,epiglotis,poklopec
5244,epigon,posnemovalec
5245,epigonka,posnemovalka
5246,epigraf,citat
5247,epigrafik,strokovnjak za epigrafiko
5248,epigrafika,veda o epigrafih
5249,epigrafikinja,epigrafik
5250,epigram,puščica
5251,epigramatik,pisec epigramov
5252,epigramatičen,epigramski
5253,epigramski,epigramatičen
5254,epika,epsko pesništvo
5255,epikant,epikantus
5256,epikantus,epikant
5257,epikard,epikardij
5258,epikardij,epikard
5259,epikureizem,epikurejstvo
5260,epikurejec,uživač
5261,epikurejski,uživaški
5262,epikurejstvo,epikureizem
5263,epilepsija,božjast
5264,epileptik,epileptičarka
5265,epileptičarka,epileptik
5266,epileptičen,božjasten
5267,epinefel,kirnja
5268,episkop,škof
5269,episkopalec,episkopalka
5270,episkopalen,škofovski
5271,episkopalka,episkopalec
5272,episkopat,škofje
5273,epistemologija,spoznavna teorija
5274,epistemološki,epistemski
5275,epistemološko,epistemsko
5276,epistemski,epistemološki
5277,epistemsko,epistemološko
5278,epistilion,arhitrav
5279,epistola,uradno pismo
5280,epistolaren,pisemski
5281,epitaf,nagrobni napis
5282,epitalamij,poročna pesem
5283,epitelen,epitelijski
5284,epitelijski,epitelen
5285,epiteton,atribut
5286,epiziotomija,prerez presredka
5287,epizodist,epizodistka
5288,epizodistka,epizodist
5289,epizoonoza,epizootija
5290,epizootija,epizoonoza
5291,epoha,doba
5292,epohalen,prelomen
5293,epoksi,epoksiden
5294,epoksiden,epoksi
5295,epoleta,našitek
5296,eponim,poimenovanje po osebi
5297,eponimen,istoimenski
5298,epos,ep
5299,era,doba
5300,erata,popravki
5301,erektor,mišica vzravnalka
5302,eremit,puščavnik
5303,eremitaž,eremitaža
5304,eremitaža,eremitaž
5305,eremitinja,eremit
5306,eremitski,puščavniški
5307,ergo,torej
5308,ergometer,simulator veslanja
5309,ergonomičen,ergonomski
5310,ergonomski,ergonomičen
5311,ergotizem,ogenj svetega Antona
5312,eritem,pordelost
5313,eritematozen,eritemski
5314,eritemski,eritematozen
